Localidad: Cumbres,DV,DR,RV,RR,TEMP,HR,PA,Precipitación ,RS,Fecha,Hora
Localidad: Cumbres,219,237,0.7,2.9,19.7,74,930.2,0,0,14/04/2026,0.340277778
Localidad: Cumbres,75,38,1,2.9,19.7,69,930.2,0,0,15/04/2026,0.333333333
Localidad: Cumbres,75,57,1.5,4,19.7,63,930.1,0,0,16/04/2026,0.326388889
Localidad: Cumbres,80,67,1.3,4.3,19.6,71,930.2,0,0,17/04/2026,0.319444444
Localidad: Cumbres,27,51,2,5.8,19.5,76,930.2,0,0,18/04/2026,0.3125
Localidad: Cumbres,43,66,1.6,6.1,19.5,78,930,0,0,19/04/2026,0.305555556
Localidad: Cumbres,43,70,1.1,3.2,19.5,83,929.9,0,0,20/04/2026,0.298611111
Localidad: Cumbres,33,34,1,3.2,19.5,88,929.8,0,0,21/04/2026,0.291666667
Localidad: Cumbres,135,53,0.4,2.2,19.5,96,929.7,0,0,22/04/2026,0.284722222
Localidad: Cumbres,106,184,0.7,2.5,19.5,98,929.7,0,0,23/04/2026,0.277777778
Localidad: Cumbres,59,28,0.8,2.2,19.5,100,929.6,0,0,24/04/2026,0.270833333
Localidad: Cumbres,99,106,1.2,3.2,19.5,100,929.5,0,0,25/04/2026,0.263888889
Localidad: Cumbres,60,64,1.7,5,19.5,100,929.4,0,0,26/04/2026,0.256944444
Localidad: Cumbres,3,15,1.2,4.3,19.5,100,929.4,0,0,27/04/2026,0.25
Localidad: Cumbres,43,47,2.8,7.2,19.5,100,929.3,0,0,28/04/2026,0.243055556
Localidad: Cumbres,53,39,3.2,7.9,19.6,100,929.2,0,0,29/04/2026,0.236111111
Localidad: Cumbres,48,34,4.5,10.1,19.6,100,929.3,0,0,30/04/2026,0.229166667
Localidad: Cumbres,44,62,4.7,11.9,19.7,100,929.3,0,0,01/05/2026,0.222222222
Localidad: Cumbres,44,46,5.8,13.3,19.8,100,929.3,0,0,02/05/2026,0.215277778
Localidad: Cumbres,53,70,5.6,13,20,100,929.3,0,0,03/05/2026,0.208333333
Localidad: Cumbres,43,27,1.5,6.5,20.1,100,929.3,0,0,04/05/2026,0.201388889
Localidad: Cumbres,141,93,0.7,4,20.1,100,929.2,0,0,05/05/2026,0.194444444
Localidad: Cumbres,71,35,2.3,5,20.2,100,929.2,0,0,06/05/2026,0.1875
Localidad: Cumbres,55,17,1.9,4.7,20.2,100,929.2,0,0,07/05/2026,0.180555556
Localidad: Cumbres,352,28,1.9,6.5,20.2,100,929.2,0,0,08/05/2026,0.173611111
Localidad: Cumbres,352,32,2.9,5.8,20.2,100,929.2,0,0,09/05/2026,0.166666667
Localidad: Cumbres,31,41,3.1,7.9,20.3,100,929.2,0,0,10/05/2026,0.159722222
Localidad: Cumbres,22,50,4.8,11.9,20.3,100,929.2,0,0,11/05/2026,0.152777778
Localidad: Cumbres,355,0,3.4,8.6,20.4,100,929.3,0,0,12/05/2026,0.145833333
Localidad: Cumbres,7,24,1.8,5.8,20.5,100,929.2,0,0,13/05/2026,0.138888889
Localidad: Cumbres,94,36,2.2,9.7,20.6,100,929.2,0,0,14/05/2026,0.131944444
Localidad: Cumbres,11,37,3.9,13,20.6,100,929.2,0,0,15/05/2026,0.125
Localidad: Cumbres,1,20,2.8,9,20.6,100,929.2,0,0,16/05/2026,0.118055556
Localidad: Cumbres,28,51,3.8,9.7,20.6,100,929.4,0,0,17/05/2026,0.111111111
Localidad: Cumbres,35,30,4.6,12.2,20.6,100,929.5,0,0,18/05/2026,0.104166667
Localidad: Cumbres,23,51,7,18.7,20.8,100,929.5,0,0,19/05/2026,0.097222222
Localidad: Cumbres,32,30,6.9,15.8,21,100,929.6,0,0,20/05/2026,0.090277778
Localidad: Cumbres,30,46,6.5,19.1,21.2,100,929.8,0,0,21/05/2026,0.083333333
Localidad: Cumbres,38,50,7.3,18.4,21.5,100,929.9,0,0,22/05/2026,0.076388889
Localidad: Cumbres,27,27,4.9,14,21.6,100,930,0,0,23/05/2026,0.069444444
Localidad: Cumbres,30,54,6.4,14.4,21.7,100,930.2,0,0,24/05/2026,0.0625
Localidad: Cumbres,38,61,5.9,19.1,21.8,100,930.3,0,0,25/05/2026,0.055555556
Localidad: Cumbres,33,13,6.7,15.5,21.7,100,930.3,0,0,26/05/2026,0.048611111
Localidad: Cumbres,25,27,6,14.4,21.6,100,930.4,0,0,27/05/2026,0.041666667
Localidad: Cumbres,43,46,4.7,14.4,21.4,100,930.5,0,0,28/05/2026,0.034722222
Localidad: Cumbres,351,19,2.2,6.8,21.2,100,930.6,0,0,29/05/2026,0.027777778
Localidad: Cumbres,229,183,1.9,4.3,21.2,100,930.7,0,0,30/05/2026,0.020833333
Localidad: Cumbres,213,200,2.4,5.4,21.2,100,930.6,0,0,31/05/2026,0.013888889
Localidad: Cumbres,248,192,1.7,4.7,21.3,100,930.6,0,0,01/06/2026,0.006944444
Localidad: Cumbres,195,194,4.2,9,21.5,100,930.6,0,0,02/06/2026,0
Localidad: Cumbres,59,49,4.2,17.6,21.6,100,930.6,0,0,03/06/2026,0.993055556
Localidad: Cumbres,65,348,3.9,11.9,21.4,100,930.6,0,0,04/06/2026,0.986111111
Localidad: Cumbres,115,35,3.3,13,21.4,100,930.6,0,0,05/06/2026,0.979166667
Localidad: Cumbres,176,209,2.9,6.5,21.6,100,930.7,0,0,06/06/2026,0.972222222
Localidad: Cumbres,263,216,2.7,6.8,22.1,100,930.7,0,0,07/06/2026,0.965277778
Localidad: Cumbres,103,36,3.2,9,22.8,100,930.8,0,0,08/06/2026,0.958333333
Localidad: Cumbres,13,35,6.4,16.6,23,100,930.8,0,0,09/06/2026,0.951388889
Localidad: Cumbres,10,22,8.9,19.1,23.2,100,930.9,0,0,10/06/2026,0.944444444
Localidad: Cumbres,15,31,6.8,18,23.4,100,930.9,0,0,11/06/2026,0.9375
Localidad: Cumbres,22,54,5.4,13.3,23.6,100,930.9,0,0,12/06/2026,0.930555556
Localidad: Cumbres,7,2,7.6,18,23.7,100,930.9,0,0,13/06/2026,0.923611111
Localidad: Cumbres,4,356,7.8,18.4,23.8,100,930.8,0,0,14/06/2026,0.916666667
Localidad: Cumbres,18,25,9.3,19.8,23.9,100,930.7,0,0,15/06/2026,0.909722222
Localidad: Cumbres,13,6,10.5,21.2,24,100,930.7,0,0,16/06/2026,0.902777778
Localidad: Cumbres,13,352,10.1,21.6,24.2,100,930.6,0,0,17/06/2026,0.895833333
